idreport_basic,autore,EMAIL (GENERATED)
560,(R)INNOVARE L'AMBIENTE,dummyemail_3@mnthn.loc
664,#fiordipatate.gav,dummyemail_5@mnthn.loc
712,#school4legality,dummyemail_6@mnthn.loc
760,#unbinarioperdue,dummyemail_7@mnthn.loc
594,3biotecnambientale,dummyemail_8@mnthn.loc
574,3BNRG,dummyemail_9@mnthn.loc
556,A TEAM,dummyemail_10@mnthn.loc
704,A.S.S. Green Future,dummyemail_11@mnthn.loc
691,Active Team,dummyemail_12@mnthn.loc
328,Alfonso Ernesto Navazio,dummyemail_13@mnthn.loc
533,ALLA SCOPERTA DELLA BELLEZZA,dummyemail_14@mnthn.loc
573,Amianto niente vanto,dummyemail_15@mnthn.loc
646,ANDRIA'S KEEPERS,dummyemail_16@mnthn.loc
662,AttivaMente Cittadini,dummyemail_20@mnthn.loc
477,B.A.B.Y. (Be Aware Better Youths),dummyemail_21@mnthn.loc
668,BIBIDIBOBIDIBUS,dummyemail_22@mnthn.loc
644,Biking the Road,dummyemail_23@mnthn.loc
579,Binario 9?,dummyemail_24@mnthn.loc
669,Biosservatori,dummyemail_25@mnthn.loc
689,C.I.A. Urban Revolution,dummyemail_27@mnthn.loc
603,CairolOnda 2.0,dummyemail_28@mnthn.loc
859,camp_fly,dummyemail_29@mnthn.loc
729,CECAM,dummyemail_30@mnthn.loc
534,Cittadini senza se e senza ma...,dummyemail_38@mnthn.loc
531,Clock Art's Pizzi,dummyemail_39@mnthn.loc
653,COAST'S INVESTIGATORS,dummyemail_40@mnthn.loc
741,Conti@moineuropa,dummyemail_41@mnthn.loc
313,"Corsisti di ""Scuola di Partecipazione""",dummyemail_42@mnthn.loc
740,COSE mai a CASO,dummyemail_43@mnthn.loc
690,Cultivatori,dummyemail_45@mnthn.loc
763,Cultur Lab Matera,dummyemail_46@mnthn.loc
661,CUSTODI DELL'ARTE,dummyemail_47@mnthn.loc
487,DELTA A - Il team che fa la differenza,dummyemail_48@mnthn.loc
831,DepuratoriG,dummyemail_49@mnthn.loc
752,Diamante gioiello piccante,dummyemail_50@mnthn.loc
700,Dietro le Torri,dummyemail_51@mnthn.loc
679,Differenziamoci!,dummyemail_52@mnthn.loc
494,Discovering Cassano,dummyemail_53@mnthn.loc
645,DREAM ENERGY,dummyemail_54@mnthn.loc
566,DustBusters,dummyemail_55@mnthn.loc
615,E.Stop,dummyemail_56@mnthn.loc
593,EcoThree,dummyemail_57@mnthn.loc
551,ENJOY,dummyemail_59@mnthn.loc
562,Epizefiri,dummyemail_60@mnthn.loc
674,EQUIPE4RMS,dummyemail_61@mnthn.loc
479,Ericicliamo,dummyemail_62@mnthn.loc
680,Eyes of Future,dummyemail_64@mnthn.loc
659,FAST IRO TEAM,dummyemail_65@mnthn.loc
709,FeltrySocial,dummyemail_66@mnthn.loc
688,Fixing Terni,dummyemail_67@mnthn.loc
598,fordabliu,dummyemail_68@mnthn.loc
642,Fronte dal Porto,dummyemail_73@mnthn.loc
506,FUTURE PROJECT TEAM,dummyemail_74@mnthn.loc
765,GammaBike,dummyemail_75@mnthn.loc
578,Giovani in campo,dummyemail_76@mnthn.loc
550,GLI EVIDENZATORI,dummyemail_79@mnthn.loc
587,GLI INDIFFERENZIATI,dummyemail_80@mnthn.loc
616,GREEN CAPS,dummyemail_81@mnthn.loc
490,Green Guys,dummyemail_82@mnthn.loc
651,Green Power,dummyemail_83@mnthn.loc
652,GREENTraces,dummyemail_84@mnthn.loc
581,Helping hand,dummyemail_85@mnthn.loc
625,Hera Team,dummyemail_86@mnthn.loc
731,Hill Team,dummyemail_87@mnthn.loc
